VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 9, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 65, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 68, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 70, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 73, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 5, ID: 76, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 78, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 83, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 85, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 17, ID: 86, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 90, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 4, ID: 93, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 95, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 99, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 101, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 4, ID: 105, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 108, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 5, ID: 114, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 117, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 118, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 120, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 124, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 128, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 132, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 4, ID: 135, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 17, ID: 136, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 138, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 5, ID: 144, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 146, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 147, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 151, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 152, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 155, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 159, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 162, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 164, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 166, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 7, ID: 172, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 174, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 17, ID: 177, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 184, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 186, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 189, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 191, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 17, ID: 196, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 198, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 200, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 203, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 205, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 207, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 211, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 217, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 219, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 221, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 222, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 225, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 227, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 228, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 234, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 235, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 237, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 243, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 250, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 252, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 255, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 256, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 258, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 17, ID: 260, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 262, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 264, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 267, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 269, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 12, ID: 270, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 273, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 277, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 285, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 288, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 293, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 295, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 299, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 301, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 303, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 305, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 311, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 314, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 316, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 318, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 320, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 322, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 323, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 325, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 329, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 16, ID: 333, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 337, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 13, ID: 338, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 340, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 341, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 18, ID: 347, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 350, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 352, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 354, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 356, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 358, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 10, ID: 362, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 366, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 370, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 373, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 377, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 383, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 384, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 20, ID: 388, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 390, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 4, ID: 392, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 394, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 1, ID: 396, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 19, ID: 399, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 3, ID: 402, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 405, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 8, ID: 406, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 413, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 417, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 426, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 14, ID: 430, COR: RED, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 432, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 14, ID: 435, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 438, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 14, ID: 440, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 443, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 444, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 447, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 449, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 451, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 455, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 458, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 464, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 465, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 468, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 471, COR: BLUE, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 475, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 9, ID: 479, COR: GREEN, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 481, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 482, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 11, ID: 486, COR: BLUE, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 6, ID: 488, COR: GREEN, TIPO: SEDAN
VENDA -> LOJA: Loja2, CLIENTE: 15, ID: 493, COR: RED, TIPO: SUV
VENDA -> LOJA: Loja2, CLIENTE: 2, ID: 497, COR: GREEN, TIPO: SUV
